Day,Month,CPI (%)
4,Mar,2
4,Jun,2.5
4,Sep,2.3
4,Dec,2.5
5,Mar,2.4
5,Jun,2.5
5,Sep,3.1
5,Dec,2.8
6,Mar,2.9
6,Jun,4
6,Sep,4
6,Dec,3.3
7,Mar,2.5
7,Jun,2.1
7,Sep,1.8
7,Dec,2.9
8,Mar,4.3
8,Jun,4.4
8,Sep,5
8,Dec,3.7
9,Mar,2.4
9,Jun,1.4
9,Sep,1.2
9,Dec,2.1
10,Mar,2.9
10,Jun,3.1
10,Sep,2.9
10,Dec,2.8
11,Mar,3.3
11,Jun,3.5
11,Sep,3.4
11,Dec,3
12,Mar,1.6
12,Jun,1.2
12,Sep,2
12,Dec,2.2
13,Mar,2.5
13,Jun,2.4
13,Sep,2.2
13,Dec,2.7
14,Mar,2.9
14,Jun,3
14,Sep,2.3
14,Dec,1.7
15,Mar,1.3
15,Jun,1.5
15,Sep,1.5
15,Dec,1.7
16,Mar,1.3
16,Jun,1
16,Sep,1.3
16,Dec,1.5
17,Mar,2.1
17,Jun,1.9
17,Sep,1.8
17,Dec,1.9
18,Mar,1.9
18,Jun,2.1
18,Sep,1.9
18,Dec,1.8
19,Mar,1.3
19,Jun,1.6
19,Sep,1.7
19,Dec,1.8
20,Mar,2.2
20,Jun,-0.3
20,Sep,0.7
20,Dec,0.9
21,Mar,1.1
21,Jun,3.8
21,Sep,3
21,Dec,3.5
